participant.ID,trial,cond,RAW.TLX
1,1,2D,7.5
2,2,2D,6.5
3,1,2D,5.333333333333333
4,2,2D,2.8333333333333335
5,1,2D,5.166666666666667
6,2,2D,5
7,1,2D,2.6666666666666665
8,2,2D,6.333333333333333
9,1,2D,4
10,2,2D,3.5
11,1,2D,5.166666666666667
12,2,2D,5
13,1,2D,5.166666666666667
14,2,2D,2.6666666666666665
15,1,2D,2.8333333333333335
16,2,2D,3.8333333333333335
17,1,2D,4.166666666666667
18,2,2D,3.8333333333333335
19,1,2D,6.5
20,2,2D,6
21,1,2D,5.5
22,2,2D,2.5
23,1,2D,6.666666666666667
24,2,2D,8.5
25,1,2D,5
26,2,2D,4.666666666666667
27,1,2D,3.8333333333333335
28,2,2D,3.8333333333333335
29,1,2D,5.666666666666667
30,2,2D,4.333333333333333
1,2,3D,3
2,1,3D,4.833333333333333
3,2,3D,5
4,1,3D,3.8333333333333335
5,2,3D,5.333333333333333
6,1,3D,3.8333333333333335
7,2,3D,5.5
8,1,3D,3.1666666666666665
9,2,3D,7.666666666666667
10,1,3D,5.666666666666667
11,2,3D,4
12,1,3D,3.5
13,2,3D,3.6666666666666665
14,1,3D,5.666666666666667
15,2,3D,3.5
16,1,3D,5
17,2,3D,6
18,1,3D,6.5
19,2,3D,4.5
20,1,3D,3.6666666666666665
21,2,3D,1.8333333333333333
22,1,3D,4.666666666666667
23,2,3D,3.8333333333333335
24,1,3D,2.3333333333333335
25,2,3D,5
26,1,3D,6.333333333333333
27,2,3D,7.333333333333333
28,1,3D,5.833333333333333
29,2,3D,6
30,1,3D,5
